Year,Age,Total,
2000,12-,0.03,
2000,13,0.68,
2000,14,8.33,
2000,15,53.23,
2000,16,207.89,
2000,17,671.85,
2000,18,1295.50,
2000,19,2656.28,
2000,20,4880.72,
2000,21,7215.64,
2000,22,11878.44,
2000,23,18615.04,
2000,24,32716.93,
2000,25,44020.93,
2000,26,62388.92,
2000,27,73907.83,
2000,28,76724.79,
2000,29,73968.09,
2000,30,60146.40,
2000,31,48034.97,
2000,32,34879.11,
2000,33,24251.98,
2000,34,17832.72,
2000,35,12823.46,
2000,36,9190.03,
2000,37,7372.31,
2000,38,4941.99,
2000,39,3564.14,
2000,40,2393.16,
2000,41,1381.87,
2000,42,877.73,
2000,43,483.05,
2000,44,296.26,
2000,45,157.67,
2000,46,78.33,
2000,47,49.21,
2000,48,32.14,
2000,49,25.10,
2000,50,31.53,
2000,51,21.91,
2000,52,9.36,
2000,53,2.90,
2000,54,0.59,
2000,55+,0.00,
2001,12-,0.03,
2001,13,0.65,
2001,14,7.37,
2001,15,42.21,
2001,16,179.90,
2001,17,475.40,
2001,18,1064.36,
2001,19,2370.95,
2001,20,3940.87,
2001,21,6457.55,
2001,22,9657.69,
2001,23,15201.64,
2001,24,26575.98,
2001,25,34825.58,
2001,26,48234.18,
2001,27,62702.12,
2001,28,66866.12,
2001,29,63247.87,
2001,30,56429.49,
2001,31,44042.05,
2001,32,34356.22,
2001,33,24335.69,
2001,34,16699.19,
2001,35,12460.82,
2001,36,9007.41,
2001,37,6434.44,
2001,38,5017.29,
2001,39,3413.21,
2001,40,2344.82,
2001,41,1506.59,
2001,42,836.22,
2001,43,519.62,
2001,44,250.26,
2001,45,163.83,
2001,46,96.49,
2001,47,52.27,
2001,48,33.17,
2001,49,29.15,
2001,50,26.66,
2001,51,17.78,
2001,52,7.56,
2001,53,2.68,
2001,54,0.60,
2001,55+,0.00,
2002,12-,0.13,
2002,13,5.80,
2002,14,47.20,
2002,15,81.20,
2002,16,214.52,
2002,17,468.13,
2002,18,1203.91,
