Year,Age,Total
2014,12-,2
2014,13,17
2014,14,117
2014,15,375
2014,16,878
2014,17,1489
2014,18,2309
2014,19,3365
2014,20,4245
2014,21,4978
2014,22,5884
2014,23,7047
2014,24,8598
2014,25,10443
2014,26,12398
2014,27,15151
2014,28,18154
2014,29,21710
2014,30,25931
2014,31,28896
2014,32,31645
2014,33,33473
2014,34,33842
2014,35,32549
2014,36,29815
2014,37,25391
2014,38,20648
2014,39,15868
2014,40,11548
2014,41,7609
2014,42,4958
2014,43,3095
2014,44,1609
2014,45,918
2014,46,496
2014,47,249
2014,48,155
2014,49,101
2014,50,68
2014,51,26
2014,52,9
2014,53,6
2014,54,11
2014,55+,0
