Year,Age,Female,Male,Total,OpenInterval
2003,0,1075.17,1453.06,2528.23,FALSE
2003,1,119.02,114,233.02,FALSE
2003,2,84.01,129,213.01,FALSE
2003,3,86.01,102,188.01,FALSE
2003,4,78.01,114.01,192.02,FALSE
2003,5,53.01,89,142.01,FALSE
2003,6,72.01,92,164.01,FALSE
2003,7,53.01,94.01,147.02,FALSE
2003,8,40.01,68,108.01,FALSE
2003,9,46.01,66,112.01,FALSE
2003,10,44.01,69,113.01,FALSE
2003,11,40.01,70,110.01,FALSE
2003,12,38,53,91,FALSE
2003,13,38,53,91,FALSE
2003,14,37,80,117,FALSE
2003,15,58.01,95,153.01,FALSE
2003,16,78.02,135,213.02,FALSE
2003,17,85.01,163.01,248.02,FALSE
2003,18,82.01,205.01,287.02,FALSE
2003,19,100.01,252,352.01,FALSE
2003,20,110.02,253.01,363.03,FALSE
2003,21,131.02,238.01,369.03,FALSE
2003,22,157.03,302.01,459.04,FALSE
2003,23,154.03,321.01,475.04,FALSE
2003,24,136.02,339.01,475.03,FALSE
2003,25,139.02,315.01,454.03,FALSE
2003,26,162.02,334.01,496.03,FALSE
2003,27,170.03,342.01,512.04,FALSE
2003,28,184.03,377.01,561.04,FALSE
2003,29,198.03,446.01,644.04,FALSE
2003,30,210.03,473.02,683.05,FALSE
2003,31,221.03,494.01,715.04,FALSE
2003,32,233.04,535.02,768.06,FALSE
2003,33,269.05,549.02,818.07,FALSE
2003,34,311.05,711.03,1022.08,FALSE
2003,35,296.05,626.03,922.08,FALSE
2003,36,292.04,731.02,1023.06,FALSE
2003,37,319.05,766.02,1085.07,FALSE
2003,38,321.05,951.03,1272.08,FALSE
2003,39,359.06,951.03,1310.09,FALSE
2003,40,410.06,1093.04,1503.1,FALSE
2003,41,443.07,1294.04,1737.11,FALSE
2003,42,487.07,1487.05,1974.12,FALSE
2003,43,569.09,1595.06,2164.15,FALSE
2003,44,563.08,1616.06,2179.14,FALSE
