ccaa;sexo;edad;Deaths_Low;Deaths_High;Pop_Low;Pop_High
1;1;35;97;67;137849;128088
1;1;36;127;63;139878;135472
1;1;37;135;88;140183;141790
1;1;38;158;65;137815;148377
1;1;39;145;89;137137;150635
1;1;40;202;102;135220;151262
1;1;41;205;113;134760;149187
1;1;42;211;109;135196;145527
1;1;43;283;116;136111;141412
1;1;44;292;117;138293;136971
1;1;45;356;145;140637;132338
1;1;46;369;171;142965;128807
1;1;47;453;195;143324;127432
1;1;48;519;239;145797;123030
1;1;49;582;284;147453;120113
1;1;50;683;291;146645;117797
1;1;51;710;301;145027;113028
1;1;52;769;349;144096;106375
1;1;53;839;373;139758;102223
1;1;54;827;373;135647;98083
1;1;55;909;376;133732;93958
1;1;56;978;415;133227;89635
1;1;57;1007;456;128272;86877
1;1;58;1063;450;124269;80972
1;1;59;1074;520;119172;75256
1;1;60;1178;511;113633;70310
1;1;61;1205;429;111467;65644
1;1;62;1299;469;110591;61054
1;1;63;1393;492;109285;55516
1;1;64;1428;529;108263;50395
1;1;65;1589;530;105724;49456
1;1;66;1677;531;103874;49264
1;1;67;1815;577;106124;44529
1;1;68;2021;621;107518;40721
1;1;69;2152;600;104031;39474
1;1;70;2278;674;100219;37818
1;1;71;2456;683;100058;32684
1;1;72;2489;626;92633;30484
1;1;73;2604;650;88258;26590
1;1;74;2707;683;80128;26188
1;1;75;2700;644;73853;22712
1;1;76;2960;632;73829;18621
1;1;77;3266;603;70793;17544
1;1;78;3472;570;69266;16024
1;1;79;4023;662;69914;14018
1;1;80;4298;726;67449;13550
1;1;81;4511;699;64233;12173
1;1;82;4802;711;59389;11050
1;1;83;4782;712;55050;9087
1;1;84;4934;745;48985;7900
1;1;85;4733;663;41859;6889
1;1;86;4444;595;35678;5284
1;1;87;4017;602;29435;4499
1;1;88;3630;531;24215;3616
1;1;89;3357;475;19231;3022
1;1;90;2990;424;15303;2301
1;1;91;2520;364;12110;1632
1;1;92;2063;316;9034;1387
1;1;93;1745;240;6644;1077
