sex,age,deaths
Female,0,540
Female,1,39
Female,2,31
Female,3,18
Female,4,24
Female,5,21
Female,6,10
Female,7,20
Female,8,16
Female,9,11
Female,10,14
Female,11,18
Female,12,19
Female,13,19
Female,14,24
Female,15,14
Female,16,26
Female,17,20
Female,18,26
Female,19,33
Female,20,34
Female,21,39
Female,22,36
Female,23,44
Female,24,30
Female,25,39
Female,26,39
Female,27,45
Female,28,48
Female,29,51
Female,30,64
Female,31,75
Female,32,77
Female,33,102
Female,34,106
Female,35,112
Female,36,130
Female,37,155
Female,38,187
Female,39,183
Female,40,218
Female,41,231
Female,42,271
Female,43,291
Female,44,347
Female,45,415
Female,46,388
Female,47,440
Female,48,472
Female,49,530
Female,50,564
Female,51,592
Female,52,626
Female,53,683
Female,54,769
Female,55,795
Female,56,849
Female,57,849
Female,58,893
Female,59,904
Female,60,943
Female,61,1042
Female,62,1048
Female,63,1042
Female,64,1118
Female,65,1278
Female,66,1387
Female,67,1359
Female,68,1567
Female,69,1715
Female,70,1911
Female,71,1914
Female,72,1776
Female,73,2163
Female,74,2383
Female,75,2366
Female,76,2935
Female,77,3628
Female,78,4323
Female,79,4771
Female,80,5703
Female,81,6320
Female,82,6901
Female,83,7672
Female,84,8267
Female,85,8783
Female,86,8963
Female,87,9512
Female,88,9493
Female,89,9663
Female,90,9499
Female,91,9012
Female,92,7972
Female,93,6908
Female,94,5849
Female,95,4461
Female,96,3821
Female,97,3001
Female,98,2275
Female,99,1773
Female,100,1242
Female,101,829
Female,102,570
Female,103,348
Female,104,200
Female,105,110
Female,106,64
Female,107,35
Female,108,19
Female,109,7
Female,110,13
Male,0,662
Male,1,55
Male,2,38
Male,3,26
Male,4,21
Male,5,25
Male,6,28
Male,7,27
Male,8,17
Male,9,10
Male,10,15
Male,11,15
Male,12,17
Male,13,26
Male,14,37
Male,15,37
Male,16,29
Male,17,39
Male,18,56
Male,19,63
Male,20,86
Male,21,86
Male,22,94
Male,23,84
Male,24,95
Male,25,88
Male,26,95
Male,27,105
Male,28,109
Male,29,114
Male,30,145
Male,31,168
Male,32,168
Male,33,200
Male,34,210
Male,35,219
Male,36,223
Male,37,254
Male,38,285
Male,39,322
Male,40,393
Male,41,443
Male,42,456
Male,43,548
Male,44,587
Male,45,679
Male,46,780
Male,47,851
Male,48,983
Male,49,1101
Male,50,1147
Male,51,1254
Male,52,1360
Male,53,1395
Male,54,1538
Male,55,1725
Male,56,1756
Male,57,1784
Male,58,1875
Male,59,2025
Male,60,2134
Male,61,2314
Male,62,2406
Male,63,2467
Male,64,2603
Male,65,3003
Male,66,3266
Male,67,3042
Male,68,3438
Male,69,3513
Male,70,3856
Male,71,3796
Male,72,3463
Male,73,4116
Male,74,4264
Male,75,3862
Male,76,4610
Male,77,5796
Male,78,6047
Male,79,6559
Male,80,6930
Male,81,7337
Male,82,7577
Male,83,7704
Male,84,7661
Male,85,7692
Male,86,7387
Male,87,7040
Male,88,6666
Male,89,6007
Male,90,5588
Male,91,4921
Male,92,4255
Male,93,3292
Male,94,2447
Male,95,1684
Male,96,1281
Male,97,966
Male,98,726
Male,99,486
Male,100,335
Male,101,203
Male,102,127
Male,103,82
Male,104,43
Male,105,28
Male,106,11
Male,107,6
Male,108,2
Male,109,2
Male,110,0
Total,0,1202
Total,1,94
Total,2,69
Total,3,44
Total,4,45
Total,5,46
Total,6,38
Total,7,47
Total,8,33
Total,9,21
Total,10,29
Total,11,33
Total,12,36
Total,13,45
Total,14,61
Total,15,51
Total,16,55
Total,17,59
Total,18,82
Total,19,96
Total,20,120
Total,21,125
Total,22,130
Total,23,128
Total,24,125
Total,25,127
Total,26,134
Total,27,150
Total,28,157
Total,29,165
Total,30,209
Total,31,243
Total,32,245
Total,33,302
Total,34,316
Total,35,331
Total,36,353
Total,37,409
Total,38,472
Total,39,505
Total,40,611
Total,41,674
Total,42,727
Total,43,839
Total,44,934
Total,45,1094
Total,46,1168
Total,47,1291
Total,48,1455
Total,49,1631
Total,50,1711
Total,51,1846
Total,52,1986
Total,53,2078
Total,54,2307
Total,55,2520
Total,56,2605
Total,57,2633
Total,58,2768
Total,59,2929
Total,60,3077
Total,61,3356
Total,62,3454
Total,63,3509
Total,64,3721
Total,65,4281
Total,66,4653
Total,67,4401
Total,68,5005
Total,69,5228
Total,70,5767
Total,71,5710
Total,72,5239
Total,73,6279
Total,74,6647
Total,75,6228
Total,76,7545
Total,77,9424
Total,78,10370
Total,79,11330
Total,80,12633
Total,81,13657
Total,82,14478
Total,83,15376
Total,84,15928
Total,85,16475
Total,86,16350
Total,87,16552
Total,88,16159
Total,89,15670
Total,90,15087
Total,91,13933
Total,92,12227
Total,93,10200
Total,94,8296
Total,95,6145
Total,96,5102
Total,97,3967
Total,98,3001
Total,99,2259
Total,100,1577
Total,101,1032
Total,102,697
Total,103,430
Total,104,243
Total,105,138
Total,106,75
Total,107,41
Total,108,21
Total,109,9
Total,110,13
