Country,Year,Sex,Age,Exposure,M
Japan,1970,female,0,905417.98,0.011782
Japan,1970,female,1,903220.52,0.001501
Japan,1970,female,2,872075.28,9.13e-4
Japan,1970,female,3,827317.3,6.81e-4
Japan,1970,female,4,770026.75,5.39e-4
Japan,1970,female,5,815479.22,5.1e-4
Japan,1970,female,6,794895.47,4.04e-4
Japan,1970,female,7,778873.78,3.52e-4
Japan,1970,female,8,761065.78,2.84e-4
Japan,1970,female,9,754785.83,2.62e-4
Japan,1970,female,10,763319.28,2.62e-4
Japan,1970,female,11,777193.03,2.34e-4
Japan,1970,female,12,750154.95,2.43e-4
Japan,1970,female,13,758307.58,2.55e-4
Japan,1970,female,14,787769.57,2.74e-4
Japan,1970,female,15,819689.95,3.08e-4
Japan,1970,female,16,839965.55,3.74e-4
Japan,1970,female,17,893191.84,4.41e-4
Japan,1970,female,18,946210.7,4.87e-4
Japan,1970,female,19,1030291.14,5.26e-4
Japan,1970,female,20,1102911.6,6.57e-4
Japan,1970,female,21,1172142.56,6.65e-4
Japan,1970,female,22,1186858.31,6.64e-4
Japan,1970,female,23,1036668.65,7.32e-4
Japan,1970,female,24,732757.98,7.06e-4
Japan,1970,female,25,811204.09,8.15e-4
Japan,1970,female,26,948318.79,8.01e-4
Japan,1970,female,27,923389.66,8.4e-4
Japan,1970,female,28,963848.58,8.7e-4
Japan,1970,female,29,910962.48,9.17e-4
Japan,1970,female,30,838737.32,9.05e-4
Japan,1970,female,31,776462.49,9.03e-4
Japan,1970,female,32,846775.29,0.001047
Japan,1970,female,33,839284.52,0.001163
Japan,1970,female,34,866606.98,0.001121
Japan,1970,female,35,819341.46,0.001246
Japan,1970,female,36,816826.83,0.001352
Japan,1970,female,37,822358.28,0.00144
Japan,1970,female,38,794634.48,0.001489
Japan,1970,female,39,797113.54,0.001606
Japan,1970,female,40,751659.66,0.001751
Japan,1970,female,41,746207.06,0.002
Japan,1970,female,42,715298.29,0.002001
Japan,1970,female,43,722460.24,0.002239
Japan,1970,female,44,711275.05,0.002483
Japan,1970,female,45,679534.23,0.002602
Japan,1970,female,46,650073.63,0.002707
Japan,1970,female,47,629089.39,0.00312
Japan,1970,female,48,613961.73,0.003444
Japan,1970,female,49,595385.83,0.003837
Japan,1970,female,50,579899.73,0.004155
Japan,1970,female,51,509050.64,0.004321
Japan,1970,female,52,508664.1,0.004769
Japan,1970,female,53,509754.39,0.005174
Japan,1970,female,54,507319.69,0.005712
Japan,1970,female,55,488012.36,0.006366
Japan,1970,female,56,484627.62,0.006828
Japan,1970,female,57,474357.31,0.007374
Japan,1970,female,58,471607.4,0.008289
Japan,1970,female,59,452242.49,0.008699
Japan,1970,female,60,435498.79,0.00975
Japan,1970,female,61,416989.53,0.011567
Japan,1970,female,62,395108.07,0.012595
Japan,1970,female,63,376079.61,0.013104
Japan,1970,female,64,332328.05,0.014778
Japan,1970,female,65,326011.56,0.017047
Japan,1970,female,66,321061.8,0.018331
Japan,1970,female,67,319902.85,0.020912
Japan,1970,female,68,309994.32,0.024013
Japan,1970,female,69,294800.44,0.025563
Japan,1970,female,70,272726.43,0.028813
Japan,1970,female,71,248174.84,0.033404
Japan,1970,female,72,231594.57,0.038987
Japan,1970,female,73,213536.56,0.042102
Japan,1970,female,74,197022.36,0.04922
Japan,1970,female,75,180152.39,0.054584
Japan,1970,female,76,161339.15,0.061476
Japan,1970,female,77,145502.16,0.068614
Japan,1970,female,78,128732.57,0.077902
Japan,1970,female,79,115186.72,0.084032
Japan,1970,female,80,106875.36,0.096697
Japan,1970,female,81,96275.59,0.107281
Japan,1970,female,82,79915.63,0.120632
Japan,1970,female,83,65946.74,0.135582
Japan,1970,female,84,54977.2,0.142313
Japan,1970,female,85,45220,0.16634
Japan,1970,female,86,38010.85,0.186967
Japan,1970,female,87,30753.54,0.201686
Japan,1970,female,88,24031.83,0.213437
Japan,1970,female,89,18488.31,0.24086
Japan,1970,female,90,13678.44,0.264935
Japan,1970,female,91,10052.13,0.288667
Japan,1970,female,92,7096.25,0.318275
Japan,1970,female,93,5010.32,0.348569
Japan,1970,female,94,3322.5,0.341394
Japan,1970,female,95,2048.25,0.389699
Japan,1970,female,96,1299.23,0.408033
Japan,1970,female,97,778.39,0.418916
Japan,1970,female,98,422.7,0.480364
Japan,1970,female,99,222.71,0.467068
Japan,1970,female,100,126.33,0.578025
Japan,1970,female,101,74.81,0.601791
Japan,1970,female,102,33.72,0.652367
Japan,1970,female,103,15.8,0.696056
Japan,1970,female,104,6.99,1.002147
Japan,1970,female,105,5.49,0.729262
Japan,1970,female,106,2.83,0.353565
Japan,1970,female,107,1.49,0
Japan,1970,female,108,0.99,0
Japan,1970,female,109,0,NA
Japan,1970,female,110,0.67,1.5
Japan,1970,male,0,960246.46,0.015371
Japan,1970,male,1,952678.49,0.001849
Japan,1970,male,2,916373.54,0.001189
Japan,1970,male,3,869486.69,9.05e-4
Japan,1970,male,4,806588.35,8.72e-4
Japan,1970,male,5,853702.32,7.52e-4
Japan,1970,male,6,831265.88,7.13e-4
Japan,1970,male,7,813570.9,5.44e-4
Japan,1970,male,8,795144.11,4.81e-4
Japan,1970,male,9,787854.8,4.15e-4
Japan,1970,male,10,794988.17,3.46e-4
Japan,1970,male,11,807702.14,3.83e-4
Japan,1970,male,12,778901.97,4.59e-4
Japan,1970,male,13,787914.19,4.37e-4
Japan,1970,male,14,817765.19,4.49e-4
Japan,1970,male,15,846882.02,5.79e-4
Japan,1970,male,16,861021.64,9.92e-4
Japan,1970,male,17,908476.17,0.001265
Japan,1970,male,18,956094.39,0.001211
Japan,1970,male,19,1034741.88,0.001272
Japan,1970,male,20,1101561.26,0.001304
Japan,1970,male,21,1165864.85,0.001353
Japan,1970,male,22,1179485.37,0.001376
Japan,1970,male,23,1030791.17,0.001245
Japan,1970,male,24,726710.27,0.001237
Japan,1970,male,25,799828.96,0.001405
Japan,1970,male,26,932345.8,0.001371
Japan,1970,male,27,910440.65,0.001505
Japan,1970,male,28,955228.58,0.001434
Japan,1970,male,29,905213.14,0.001509
Japan,1970,male,30,833950.95,0.001644
Japan,1970,male,31,771460.24,0.001497
Japan,1970,male,32,841932.82,0.001674
Japan,1970,male,33,839523.96,0.001806
Japan,1970,male,34,871210.93,0.001979
Japan,1970,male,35,824118.82,0.002197
Japan,1970,male,36,821369.59,0.002269
Japan,1970,male,37,829570.87,0.002587
Japan,1970,male,38,804683.4,0.002677
Japan,1970,male,39,806713.86,0.002955
Japan,1970,male,40,758800.27,0.003079
Japan,1970,male,41,751425.31,0.003365
Japan,1970,male,42,716499.07,0.003501
Japan,1970,male,43,712154.07,0.003733
Japan,1970,male,44,682419.26,0.004127
Japan,1970,male,45,627266.12,0.004361
Japan,1970,male,46,562225.52,0.004773
Japan,1970,male,47,505434.41,0.004891
Japan,1970,male,48,475113.05,0.005536
Japan,1970,male,49,459140,0.005992
Japan,1970,male,50,456058.21,0.006647
Japan,1970,male,51,410285.71,0.007426
Japan,1970,male,52,416071.6,0.00784
Japan,1970,male,53,422190.75,0.008636
Japan,1970,male,54,426634.39,0.009473
Japan,1970,male,55,415964.33,0.010558
Japan,1970,male,56,415138.79,0.011775
Japan,1970,male,57,405481.43,0.013257
Japan,1970,male,58,403203.73,0.01435
Japan,1970,male,59,391238.52,0.016086
Japan,1970,male,60,380551.74,0.017534
Japan,1970,male,61,368096.4,0.01989
Japan,1970,male,62,353489.63,0.022096
Japan,1970,male,63,340132.54,0.023976
Japan,1970,male,64,300557.92,0.027126
Japan,1970,male,65,293277.78,0.03055
Japan,1970,male,66,287988.87,0.034017
Japan,1970,male,67,282769.34,0.037338
Japan,1970,male,68,270920.98,0.041831
Japan,1970,male,69,253811.47,0.045439
Japan,1970,male,70,231666.14,0.049925
Japan,1970,male,71,208011.66,0.055146
Japan,1970,male,72,190090.23,0.062667
Japan,1970,male,73,171354.65,0.067276
Japan,1970,male,74,154276.06,0.076812
Japan,1970,male,75,137586.76,0.085417
Japan,1970,male,76,119635.94,0.090862
Japan,1970,male,77,104244.17,0.102953
Japan,1970,male,78,89057.76,0.110058
Japan,1970,male,79,76300.99,0.117623
Japan,1970,male,80,68537.5,0.132188
Japan,1970,male,81,59093.52,0.14681
Japan,1970,male,82,46414.48,0.158364
Japan,1970,male,83,35978.65,0.175144
Japan,1970,male,84,28271.98,0.179166
Japan,1970,male,85,21931.09,0.209428
Japan,1970,male,86,17435.87,0.23317
Japan,1970,male,87,13351.04,0.241314
Japan,1970,male,88,9868.62,0.267138
Japan,1970,male,89,7146.93,0.293807
Japan,1970,male,90,5025.96,0.30767099999999997
Japan,1970,male,91,3488.26,0.336564
Japan,1970,male,92,2354.76,0.331109
Japan,1970,male,93,1591.2,0.36859
Japan,1970,male,94,1041.19,0.437377
Japan,1970,male,95,627.58,0.424217
Japan,1970,male,96,389.42,0.429234
Japan,1970,male,97,214.31,0.4717
Japan,1970,male,98,115.23,0.477726
Japan,1970,male,99,73.8,0.501773
Japan,1970,male,100,43.18,0.463605
Japan,1970,male,101,21.42,0.420602
Japan,1970,male,102,11.14,0.448967
Japan,1970,male,103,6.49,0.308404
Japan,1970,male,104,2.66,0.376412
Japan,1970,male,105,0.5,0
Japan,1970,male,106,0.83,1.2
Japan,1970,male,107,0.5,0
Japan,1970,male,108,0,NA
Japan,1970,male,109,0,NA
Japan,1970,male,110,0,NA
Japan,1970,total,0,1865664.44,0.013629
Japan,1970,total,1,1855899.01,0.001679
