year,age,exposure,deaths,M
1950,0,242505.55,17785.357036999998,0.07333999999999999
1950,1,265133.4,3616.4195760000002,0.01364
1950,2,281474.14,2080.0938946,0.00739
1950,3,251177.66,1112.7170338,0.00443
1950,4,261086.74,783.26022,0.003
1950,5,258267.74,622.4252534,0.00241
1950,6,252637.97,507.8023197,0.00201
1950,7,237777.69,406.5998499,0.00171
1950,8,205588.44,306.3267756,0.00149
1950,9,228895.84,270.0970912,0.00118
1950,10,225524.36,270.62923199999994,0.0012
1950,11,191111.41,179.6447254,9.4e-4
1950,12,220634.13,236.0785191,0.00107
1950,13,249433.33,304.3086626,0.00122
1950,14,270669.52,365.40385200000003,0.00135
1950,15,269269.51,403.904265,0.0015
1950,16,279058.81,513.4682104,0.0018399999999999998
1950,17,290197.8,551.37582,0.0019
1950,18,271735.08,573.3610188,0.00211
1950,19,275164.15,588.8512810000001,0.00214
1950,20,275491.75,683.21954,0.00248
1950,21,266251.2,609.715248,0.00229
1950,22,265805.22,725.6482505999999,0.00273
1950,23,264489.89,759.0859843000001,0.00287
1950,24,257999.98,730.1399434,0.00283
1950,25,257339.26,725.6967132,0.0028199999999999996
1950,26,248562.76,715.8607488000001,0.00288
1950,27,249222.22,717.7599936,0.00288
1950,28,238340.49,736.4721140999999,0.0030899999999999994
1950,29,233637.74,619.140011,0.00265
1950,30,227745.31,724.2300858,0.00318
1950,31,190681.79,486.23856450000005,0.00255
1950,32,209047.73,641.7765310999999,0.0030699999999999994
1950,33,198826.01,598.4662901,0.00301
1950,34,197002.33,604.7971531,0.00307
1950,35,209809.94,612.6450248,0.00292
1950,36,202191.27,667.231191,0.0033
1950,37,205679.22,664.3438805999999,0.00323
1950,38,199046.75,730.5015725000001,0.0036700000000000005
1950,39,210493.02,616.7445485999999,0.00293
1950,40,198818.29,926.4932314,0.00466
1950,41,181381.87,578.6081653,0.00319
1950,42,188465.67,833.0182614000001,0.00442
1950,43,178742.66,655.9855622,0.00367
1950,44,187014.43,772.3695958999999,0.00413
1950,45,185902.75,873.742925,0.0047
1950,46,173839.85,836.1696785,0.00481
1950,47,172350.64,772.1308672,0.00448
1950,48,164751.95,896.2506080000002,0.00544
1950,49,185415.83,886.2876674,0.00478
1950,50,178833.07,1303.6930803,0.00729
1950,51,133219.08,728.7083676,0.00547
1950,52,135120.56,1097.1789472,0.00812
1950,53,136222.14,972.6260796,0.00714
1950,54,141279.39,1150.0142346,0.00814
1950,55,136184.64,1126.2469728,0.00827
1950,56,124991.75,1254.91717,0.01004
1950,57,121933.64,1133.9828519999999,0.0093
1950,58,117199.45,1374.7495485000002,0.011730000000000003
1950,59,128068.16,1285.8043264,0.01004
1950,60,121124.09,2051.8420846,0.01694
1950,61,107664.31,1391.0228851999998,0.01292
1950,62,111728.3,1855.807063,0.01661
1950,63,107013.68,1817.0922863999997,0.01698
1950,64,111600.19,2086.923553,0.0187
1950,65,108885.94,2517.4429328,0.02312
1950,66,94315.4,2286.205296,0.02424
1950,67,87105.31,2421.5276179999996,0.027799999999999995
1950,68,79248.49,2632.6348378000002,0.03322
1950,69,87870.73,2373.3884172999997,0.027009999999999996
1950,70,77597.02,3882.9548808000004,0.05004
1950,71,64599.46,2463.1774097999996,0.03813
1950,72,67174.11,3546.793008,0.0528
1950,73,62209.51,3316.3889781000003,0.05331
1950,74,61585.95,3568.2899429999998,0.05794
1950,75,55678.94,3773.3617638,0.06777
1950,76,46787.2,3511.847232,0.07506
1950,77,43216.84,3212.3077171999994,0.07433
1950,78,35766.43,3660.3364462,0.10234
1950,79,38475.88,2732.9417563999996,0.07103
1950,80,32293.08,4265.915868,0.1321
1950,81,26889.49,2169.4440532000003,0.08068
1950,82,22786.87,2799.1391108,0.12283999999999999
1950,83,20038.26,2404.9919652,0.12002
1950,84,17558.34,2949.4499532,0.16798
1950,85,14724.87,2439.1747155,0.16565
1950,86,11964.01,2234.6377878,0.18677999999999997
1950,87,9531.01,1735.4063008,0.18208
1950,88,7722.09,1515.8462670000001,0.1963
1950,89,6433.67,1304.2979191,0.20273
1950,90,5128.93,1426.6118795000002,0.27815
1950,91,3854.72,585.4934208,0.15189
1950,92,2919.77,679.722456,0.23279999999999998
1950,93,2234.54,494.25790259999997,0.22119
1950,94,1742.26,466.17650819999994,0.26757
1950,95,1303.1,388.506234,0.29814
1950,96,935.67,295.4378025,0.31575
1950,97,642.49,214.5402608,0.33392
