year,age,sex,exposure,deaths,births
2014,0,female,204299.81,590.1,0
2014,1,female,226294.15,67.01,0
2014,2,female,232446.41,25.01,0
2014,3,female,233875.88,22,0
2014,4,female,219929.84,22.01,0
2014,5,female,221742.33,24.01,0
2014,6,female,236710.78,15,0
2014,7,female,227080.18,20,0
2014,8,female,212859.35,18,0
2014,9,female,217730.38,14,0
2014,10,female,233641.17,15,0
2014,11,female,233567.95,13.01,0
2014,12,female,250875.23,20,0
2014,13,female,288812.61,24,0
2014,14,female,300734.65,25,0
2014,15,female,299014.13,34.01,0
2014,16,female,314491.76,80.01,0
2014,17,female,322901.07,52.01,0
2014,18,female,329175.59,66.01,0
2014,19,female,329180.91,66.01,0
2014,20,female,330569.91,64.01,0
2014,21,female,336984.86,83.02,0
2014,22,female,335813.82,67.01,0
2014,23,female,309593.84,64.01,0
2014,24,female,301007.95,76.01,0
2014,25,female,298070.99,85.01,0
2014,26,female,293755.54,83.01,0
2014,27,female,298434.16,83.02,0
2014,28,female,308131.89,114.02,0
2014,29,female,312479.67,126.02,0
2014,30,female,342394.99,132.03,0
2014,31,female,380590.89,154.02,0
2014,32,female,407510.16,181.03,0
2014,33,female,416468.84,221.03,0
2014,34,female,407502.24,223.04,0
2014,35,female,377088.38,201.03,0
2014,36,female,365893.8,234.04,0
2014,37,female,377528.68,231.04,0
2014,38,female,379409.81,235.04,0
2014,39,female,402921.82,285.05,0
2014,40,female,429181.25,326.05,0
2014,41,female,437109.86,337.06,0
2014,42,female,445241.71,322.05,0
2014,43,female,452201.08,409.07,0
2014,44,female,450187.41,442.07,0
2014,45,female,455005.87,440.08,0
2014,46,female,443791.35,488.09,0
2014,47,female,408378.81,484.09,0
2014,48,female,402614.42,495.08,0
2014,49,female,412730.37,590.11,0
2014,50,female,394656.06,532.09,0
2014,51,female,405100.57,638.11,0
2014,52,female,439765.36,669.12,0
2014,53,female,456129.27,870.15,0
2014,54,female,441874.83,824.14,0
2014,55,female,403735.7,776.14,0
2014,56,female,382269,809.14,0
2014,57,female,364011.19,829.15,0
2014,58,female,356429.18,828.15,0
2014,59,female,335747.32,897.15,0
2014,60,female,287101.67,851.15,0
2014,61,female,282771.55,835.14,0
2014,62,female,256902.96,888.15,0
