year,age,expos,sex
1950,0,344.618,f
1950,1,321.2265,f
1950,2,304.2985,f
1950,3,290.37,f
1950,4,280.144,f
1950,5,269.007,f
1950,6,263.864,f
1950,7,264.4245,f
1950,8,265.0695,f
1950,9,265.6,f
1950,10,260.928,f
1950,11,251.6265,f
1950,12,239.2965,f
1950,13,228.035,f
1950,14,218.638,f
1950,15,209.948,f
1950,16,201.6105,f
1950,17,193.5605,f
1950,18,187.1845,f
1950,19,181.7975,f
1950,20,176.0685,f
1950,21,170.088,f
1950,22,165.1655,f
1950,23,161.525,f
1950,24,158.439,f
1950,25,155.339,f
1950,26,152.61,f
1950,27,149.093,f
1950,28,143.4205,f
1950,29,136.759,f
1950,30,130.699,f
1950,31,124.79,f
1950,32,119.7775,f
1950,33,117.164,f
1950,34,115.721,f
1950,35,114.0205,f
1950,36,112.24,f
1950,37,110.4885,f
1950,38,108.103,f
1950,39,105.2475,f
1950,40,102.6785,f
1950,41,100.5865,f
1950,42,97.4495,f
1950,43,92.4645,f
1950,44,86.6815,f
1950,45,81.3,f
1950,46,75.829,f
1950,47,71.7815,f
1950,48,70.848,f
1950,49,71.578,f
1950,50,72.2055,f
1950,51,72.7295,f
1950,52,72.7615,f
1950,53,71.035,f
1950,54,68.1965,f
1950,55,65.675,f
1950,56,63.3,f
1950,57,60.8745,f
1950,58,59.095,f
1950,59,57.5415,f
1950,60,55.7405,f
1950,61,53.9365,f
1950,62,51.454,f
1950,63,47.281,f
1950,64,42.1375,f
1950,65,37.2595,f
1950,66,32.4345,f
1950,67,28.1945,f
1950,68,25.6475,f
1950,69,23.874,f
1950,70,21.9455,f
1950,71,20.2095,f
1950,72,18.3285,f
1950,73,15.648,f
1950,74,12.632,f
1950,75,9.9825,f
1950,76,7.4905,f
1950,77,5.7535,f
1950,78,5.423,f
1950,79,5.909,f
1950,80,6.3905,f
1950,81,6.94,f
1950,82,7.056,f
1950,83,6.149,f
1950,84,4.6545,f
1950,85,3.456,f
1950,86,2.4315,f
1950,87,1.56,f
1950,88,1.1275,f
1950,89,0.974,f
1950,90,0.744,f
1950,91,0.5275,f
1950,92,0.4255,f
1950,93,0.3305,f
1950,94,0.235,f
1950,95,0.188,f
1950,96,0.184,f
1950,97,0.156,f
1950,98,0.118,f
1950,99,0.079,f
1950,100+,0.1455,f
