ISO3,Country,Year,Sex,Age,AgeInt,nMx,nAx
AGO,Angola,2000,b,0,1,0.1364,0.30644756097560977
AGO,Angola,2000,b,1,4,0.02473,1.2395121951219512
AGO,Angola,2000,b,5,5,0.00624,1.9921843846881848
AGO,Angola,2000,b,10,5,0.00259,2.3006835765756115
AGO,Angola,2000,b,15,5,0.00246,2.5558118163015253
AGO,Angola,2000,b,20,5,0.00347,2.60171812172882
AGO,Angola,2000,b,25,5,0.00415,2.56993997694596
AGO,Angola,2000,b,30,5,0.00506,2.5816502049066465
AGO,Angola,2000,b,35,5,0.00646,2.604418282954863
AGO,Angola,2000,b,40,5,0.00891,2.616105416537863
AGO,Angola,2000,b,45,5,0.01233,2.622655652435506
AGO,Angola,2000,b,50,5,0.01816,2.6092583724002454
AGO,Angola,2000,b,55,5,0.02498,2.5854830644970423
AGO,Angola,2000,b,60,5,0.03514,2.5679614262728787
AGO,Angola,2000,b,65,5,0.04919,2.5490080924797947
AGO,Angola,2000,b,70,5,0.07271,2.5023860588888645
AGO,Angola,2000,b,75,5,0.10295,2.4333367480614116
AGO,Angola,2000,b,80,5,0.14782,2.344226705016756
AGO,Angola,2000,b,85,NA,0.2223,4.134046447879699
AGO,Angola,2000,f,0,1,0.12376,0.31411
AGO,Angola,2000,f,1,4,0.02399,1.239
AGO,Angola,2000,f,5,5,0.00606,1.9624329971440364
AGO,Angola,2000,f,10,5,0.00219,2.263442674719829
AGO,Angola,2000,f,15,5,0.00199,2.557210007817121
AGO,Angola,2000,f,20,5,0.00294,2.6398451255379327
AGO,Angola,2000,f,25,5,0.00401,2.597215758023847
AGO,Angola,2000,f,30,5,0.00488,2.5702835644985824
AGO,Angola,2000,f,35,5,0.0059,2.5755678393708217
AGO,Angola,2000,f,40,5,0.0074400000000000004,2.591063200031768
AGO,Angola,2000,f,45,5,0.00984,2.611651467764452
AGO,Angola,2000,f,50,5,0.01403,2.6090533431641707
AGO,Angola,2000,f,55,5,0.01911,2.6009985371355806
AGO,Angola,2000,f,60,5,0.02758,2.590460622210823
AGO,Angola,2000,f,65,5,0.03887,2.5814688687615694
AGO,Angola,2000,f,70,5,0.06015,2.5444930250561333
AGO,Angola,2000,f,75,5,0.08782,2.479008214673698
AGO,Angola,2000,f,80,5,0.13088,2.397286934022048
AGO,Angola,2000,f,85,NA,0.20544,4.33821167967362
AGO,Angola,2000,m,0,1,0.14909000000000003,0.29915
AGO,Angola,2000,m,1,4,0.02547,1.24
