year,age,sex,population
2015,0,Female,206335
2015,0,Male,220124
2015,0,Total,426459
2015,1,Female,207092
2015,1,Male,219379
2015,1,Total,426471
2015,2,Female,219289
2015,2,Male,233271
2015,2,Total,452560
2015,3,Female,228890
2015,3,Male,243501
2015,3,Total,472391
2015,4,Female,231869
2015,4,Male,246943
2015,4,Total,478812
2015,5,Female,236444
2015,5,Male,253087
2015,5,Total,489531
2015,6,Female,249605
2015,6,Male,266749
2015,6,Total,516354
2015,7,Female,241219
2015,7,Male,257024
2015,7,Total,498243
2015,8,Female,239646
2015,8,Male,255372
2015,8,Total,495018
2015,9,Female,235774
2015,9,Male,249457
2015,9,Total,485231
2015,10,Female,232809
2015,10,Male,247620
2015,10,Total,480429
2015,11,Female,229798
2015,11,Male,242135
2015,11,Total,471933
2015,12,Female,220523
2015,12,Male,233461
2015,12,Total,453984
2015,13,Female,219669
2015,13,Male,231464
2015,13,Total,451133
2015,14,Female,217726
2015,14,Male,232804
2015,14,Total,450530
2015,15,Female,214277
2015,15,Male,226061
2015,15,Total,440338
2015,16,Female,206449
2015,16,Male,220946
2015,16,Total,427395
2015,17,Female,208990
2015,17,Male,221219
2015,17,Total,430209
2015,18,Female,208109
2015,18,Male,219381
2015,18,Total,427490
2015,19,Female,207501
2015,19,Male,220363
2015,19,Total,427864
2015,20,Female,211669
2015,20,Male,223703
2015,20,Total,435372
2015,21,Female,221930
2015,21,Male,232432
2015,21,Total,454362
2015,22,Female,231882
2015,22,Male,240293
2015,22,Total,472175
2015,23,Female,232915
2015,23,Male,240732
2015,23,Total,473647
2015,24,Female,239362
2015,24,Male,244382
2015,24,Total,483744
2015,25,Female,246970
2015,25,Male,250457
2015,25,Total,497427
2015,26,Female,254964
2015,26,Male,256407
2015,26,Total,511371
2015,27,Female,261977
2015,27,Male,262191
2015,27,Total,524168
2015,28,Female,272062
2015,28,Male,270481
2015,28,Total,542543
2015,29,Female,282481
2015,29,Male,282350
2015,29,Total,564831
2015,30,Female,295775
2015,30,Male,295461
2015,30,Total,591236
2015,31,Female,306871
2015,31,Male,307664
2015,31,Total,614535
2015,32,Female,325721
2015,32,Male,328386
2015,32,Total,654107
2015,33,Female,340521
2015,33,Male,345897
2015,33,Total,686418
2015,34,Female,358173
2015,34,Male,365396
2015,34,Total,723569
2015,35,Female,369591
2015,35,Male,378174
2015,35,Total,747765
2015,36,Female,385578
2015,36,Male,398797
2015,36,Total,784375
2015,37,Female,389979
2015,37,Male,407261
2015,37,Total,797240
2015,38,Female,398364
2015,38,Male,414144
2015,38,Total,812508
2015,39,Female,394981
2015,39,Male,412922
2015,39,Total,807903
2015,40,Female,393270
2015,40,Male,409282
2015,40,Total,802552
2015,41,Female,383330
2015,41,Male,399761
2015,41,Total,783091
2015,42,Female,382029
2015,42,Male,398044
2015,42,Total,780073
2015,43,Female,376630
2015,43,Male,390403
2015,43,Total,767033
2015,44,Female,371955
2015,44,Male,384964
2015,44,Total,756919
2015,45,Female,369953
2015,45,Male,379744
2015,45,Total,749697
2015,46,Female,367445
2015,46,Male,376303
2015,46,Total,743748
2015,47,Female,370705
2015,47,Male,376773
2015,47,Total,747478
2015,48,Female,361380
2015,48,Male,366615
2015,48,Total,727995
2015,49,Female,360196
2015,49,Male,361895
2015,49,Total,722091
2015,50,Female,365070
2015,50,Male,365661
2015,50,Total,730731
2015,51,Female,347305
2015,51,Male,347712
2015,51,Total,695017
2015,52,Female,336927
2015,52,Male,334461
2015,52,Total,671388
2015,53,Female,329684
2015,53,Male,325236
2015,53,Total,654920
2015,54,Female,331123
2015,54,Male,325819
2015,54,Total,656942
2015,55,Female,322091
2015,55,Male,315877
2015,55,Total,637968
2015,56,Female,315236
2015,56,Male,307581
2015,56,Total,622817
2015,57,Female,307687
2015,57,Male,298333
2015,57,Total,606020
2015,58,Female,287526
2015,58,Male,277499
2015,58,Total,565025
2015,59,Female,278702
2015,59,Male,267843
2015,59,Total,546545
2015,60,Female,266824
2015,60,Male,253532
2015,60,Total,520356
2015,61,Female,266006
2015,61,Male,253431
2015,61,Total,519437
2015,62,Female,264054
2015,62,Male,252105
2015,62,Total,516159
2015,63,Female,248244
2015,63,Male,233456
2015,63,Total,481700
2015,64,Female,243087
2015,64,Male,227096
2015,64,Total,470183
2015,65,Female,254064
2015,65,Male,233191
2015,65,Total,487255
2015,66,Female,265342
2015,66,Male,243265
2015,66,Total,508607
2015,67,Female,242537
2015,67,Male,220707
2015,67,Total,463244
2015,68,Female,232531
2015,68,Male,208067
2015,68,Total,440598
2015,69,Female,242412
2015,69,Male,215397
2015,69,Total,457809
2015,70,Female,230194
2015,70,Male,202922
2015,70,Total,433116
2015,71,Female,225723
2015,71,Male,196903
2015,71,Total,422626
2015,72,Female,194053
2015,72,Male,168051
2015,72,Total,362104
2015,73,Female,178161
2015,73,Male,152368
2015,73,Total,330529
2015,74,Female,218387
2015,74,Male,182266
2015,74,Total,400653
2015,75,Female,146542
2015,75,Male,116964
2015,75,Total,263506
2015,76,Female,164203
2015,76,Male,129822
2015,76,Total,294025
2015,77,Female,182282
2015,77,Male,140998
2015,77,Total,323280
2015,78,Female,198458
2015,78,Male,147436
2015,78,Total,345894
2015,79,Female,187937
2015,79,Male,138425
2015,79,Total,326362
2015,80,Female,182801
2015,80,Male,130830
2015,80,Total,313631
2015,81,Female,182582
2015,81,Male,126499
2015,81,Total,309081
2015,82,Female,174615
2015,82,Male,117618
2015,82,Total,292233
2015,83,Female,158719
2015,83,Male,103998
2015,83,Total,262717
2015,84,Female,153530
2015,84,Male,94373
2015,84,Total,247903
2015,85,Female,136273
2015,85,Male,80821
2015,85,Total,217094
2015,86,Female,126216
2015,86,Male,70903
2015,86,Total,197119
2015,87,Female,108491
2015,87,Male,58546
2015,87,Total,167037
2015,88,Female,98829
2015,88,Male,50441
2015,88,Total,149270
2015,89,Female,84186
2015,89,Male,40717
2015,89,Total,124903
2015,90,Female,73860.6
2015,90,Male,34222.58
2015,90,Total,108083.18
2015,91,Female,60761.92
2015,91,Male,27331.71
2015,91,Total,88093.63
2015,92,Female,51754.13
2015,92,Male,20643.06
2015,92,Total,72397.19
2015,93,Female,38491.99
2015,93,Male,15645.38
2015,93,Total,54137.37
2015,94,Female,30039.39
2015,94,Male,10364.56
2015,94,Total,40403.95
2015,95,Female,20269.56
2015,95,Male,6476.79
2015,95,Total,26746.35
2015,96,Female,15569.13
2015,96,Male,4572.48
2015,96,Total,20141.61
2015,97,Female,10981.27
2015,97,Male,3047.58
2015,97,Total,14028.85
2015,98,Female,7699
2015,98,Male,2061.48
2015,98,Total,9760.48
2015,99,Female,5325.16
2015,99,Male,1368.22
2015,99,Total,6693.38
2015,100,Female,3566.15
2015,100,Male,834.72
2015,100,Total,4400.87
2015,101,Female,2251.61
2015,101,Male,505.64
2015,101,Total,2757.25
2015,102,Female,1439.43
