location,year,age,sex,mx,cause,prev
Kenya,1990,0,Male,0.0721044,Seborrhoeic dermatitis,0
Kenya,1990,0,Male,0.0721044,Stomach cancer,0
Kenya,1990,0,Female,0.06501887,Seborrhoeic dermatitis,0
Kenya,1990,0,Female,0.06501887,Stomach cancer,0
Kenya,1990,1,Male,0.0183355,Seborrhoeic dermatitis,0.0016373512732651922
Kenya,1990,1,Male,0.0183355,Stomach cancer,0
Kenya,1990,1,Female,0.01572615,Seborrhoeic dermatitis,0.0016417507370852721
Kenya,1990,1,Female,0.01572615,Stomach cancer,0
Kenya,1990,2,Male,0.01123307,Seborrhoeic dermatitis,0.0016373512732651922
Kenya,1990,2,Male,0.01123307,Stomach cancer,0
Kenya,1990,2,Female,0.00954841,Seborrhoeic dermatitis,0.0016417507370852721
Kenya,1990,2,Female,0.00954841,Stomach cancer,0
Kenya,1990,3,Male,0.00758373,Seborrhoeic dermatitis,0.0016373512732651922
Kenya,1990,3,Male,0.00758373,Stomach cancer,0
Kenya,1990,3,Female,0.00643302,Seborrhoeic dermatitis,0.0016417507370852721
Kenya,1990,3,Female,0.00643302,Stomach cancer,0
Kenya,1990,4,Male,0.00523536,Seborrhoeic dermatitis,0.0016373512732651922
Kenya,1990,4,Male,0.00523536,Stomach cancer,0
Kenya,1990,4,Female,0.00446542,Seborrhoeic dermatitis,0.0016417507370852721
Kenya,1990,4,Female,0.00446542,Stomach cancer,0
Kenya,1990,5,Male,0.00388458,Seborrhoeic dermatitis,0.0016373512732651922
Kenya,1990,5,Male,0.00388458,Stomach cancer,0
Kenya,1990,5,Female,0.00332668,Seborrhoeic dermatitis,0.0016417507370852721
Kenya,1990,5,Female,0.00332668,Stomach cancer,0
Kenya,1990,6,Male,0.00317464,Seborrhoeic dermatitis,5.2610143992265e-4
Kenya,1990,6,Male,0.00317464,Stomach cancer,0
Kenya,1990,6,Female,0.00270579,Seborrhoeic dermatitis,5.392095253574875e-4
Kenya,1990,6,Female,0.00270579,Stomach cancer,0
Kenya,1990,7,Male,0.00266775,Seborrhoeic dermatitis,5.2610143992265e-4
Kenya,1990,7,Male,0.00266775,Stomach cancer,0
Kenya,1990,7,Female,0.00227587,Seborrhoeic dermatitis,5.392095253574875e-4
Kenya,1990,7,Female,0.00227587,Stomach cancer,0
Kenya,1990,8,Male,0.00231938,Seborrhoeic dermatitis,5.2610143992265e-4
Kenya,1990,8,Male,0.00231938,Stomach cancer,0
Kenya,1990,8,Female,0.00198147,Seborrhoeic dermatitis,5.392095253574875e-4
Kenya,1990,8,Female,0.00198147,Stomach cancer,0
Kenya,1990,9,Male,0.00208889,Seborrhoeic dermatitis,5.2610143992265e-4
Kenya,1990,9,Male,0.00208889,Stomach cancer,0
Kenya,1990,9,Female,0.00179413,Seborrhoeic dermatitis,5.392095253574875e-4
Kenya,1990,9,Female,0.00179413,Stomach cancer,0
Kenya,1990,10,Male,0.00194036,Seborrhoeic dermatitis,4.4831608135573805e-4
Kenya,1990,10,Male,0.00194036,Stomach cancer,0
Kenya,1990,10,Female,0.00169356,Seborrhoeic dermatitis,4.99712075478442e-4
Kenya,1990,10,Female,0.00169356,Stomach cancer,0
Kenya,1990,11,Male,0.00185048,Seborrhoeic dermatitis,4.4831608135573805e-4
Kenya,1990,11,Male,0.00185048,Stomach cancer,0
Kenya,1990,11,Female,0.00164805,Seborrhoeic dermatitis,4.99712075478442e-4
Kenya,1990,11,Female,0.00164805,Stomach cancer,0
Kenya,1990,12,Male,0.00185629,Seborrhoeic dermatitis,4.4831608135573805e-4
Kenya,1990,12,Male,0.00185629,Stomach cancer,0
Kenya,1990,12,Female,0.0016629,Seborrhoeic dermatitis,4.99712075478442e-4
Kenya,1990,12,Female,0.0016629,Stomach cancer,0
Kenya,1990,13,Male,0.00191905,Seborrhoeic dermatitis,4.4831608135573805e-4
Kenya,1990,13,Male,0.00191905,Stomach cancer,0
Kenya,1990,13,Female,0.00172171,Seborrhoeic dermatitis,4.99712075478442e-4
Kenya,1990,13,Female,0.00172171,Stomach cancer,0
Kenya,1990,14,Male,0.00204239,Seborrhoeic dermatitis,4.4831608135573805e-4
Kenya,1990,14,Male,0.00204239,Stomach cancer,3.4643407522530576e-7
Kenya,1990,14,Female,0.00183543,Seborrhoeic dermatitis,4.99712075478442e-4
Kenya,1990,14,Female,0.00183543,Stomach cancer,5.734908474395998e-7
Kenya,1990,15,Male,0.00220735,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,15,Male,0.00220735,Stomach cancer,3.4643407522530576e-7
Kenya,1990,15,Female,0.00198429,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,15,Female,0.00198429,Stomach cancer,5.734908474395998e-7
Kenya,1990,16,Male,0.00244081,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,16,Male,0.00244081,Stomach cancer,3.4643407522530576e-7
Kenya,1990,16,Female,0.00216469,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,16,Female,0.00216469,Stomach cancer,5.734908474395998e-7
Kenya,1990,17,Male,0.00272008,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,17,Male,0.00272008,Stomach cancer,3.4643407522530576e-7
Kenya,1990,17,Female,0.00233324,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,17,Female,0.00233324,Stomach cancer,5.734908474395998e-7
Kenya,1990,18,Male,0.00300138,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,18,Male,0.00300138,Stomach cancer,3.4643407522530576e-7
Kenya,1990,18,Female,0.00252679,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,18,Female,0.00252679,Stomach cancer,5.734908474395998e-7
Kenya,1990,19,Male,0.00330562,Seborrhoeic dermatitis,6.6201330903637e-4
Kenya,1990,19,Male,0.00330562,Stomach cancer,8.692466040180504e-7
Kenya,1990,19,Female,0.0026998,Seborrhoeic dermatitis,7.4658187395972e-4
Kenya,1990,19,Female,0.0026998,Stomach cancer,1.78686888263321e-6
Kenya,1990,20,Male,0.00361399,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,20,Male,0.00361399,Stomach cancer,8.692466040180504e-7
Kenya,1990,20,Female,0.00288163,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,20,Female,0.00288163,Stomach cancer,1.78686888263321e-6
Kenya,1990,21,Male,0.0038897100000000002,Seborrhoeic dermatitis,7.748886203900261e-4
Kenya,1990,21,Male,0.0038897100000000002,Stomach cancer,8.692466040180504e-7
Kenya,1990,21,Female,0.00305419,Seborrhoeic dermatitis,8.182537269158061e-4
Kenya,1990,21,Female,0.00305419,Stomach cancer,1.78686888263321e-6
